Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
16,Pasquale Romano,484,M50-54,USA,02:36:28,01:47:22,04:26:57,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
52,Fabian Kelling,2044,M30-34,DEU,02:40:07,01:43:19,04:26:58,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
17,John Goddard,679,M50-54,USA,02:35:34,01:47:51,04:27:19,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
44,Russell Gustafson III,415,M35-39,USA,02:41:18,01:43:00,04:27:38,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
32,Sam Chi,2495,M40-44,USA,02:39:50,01:43:45,04:27:38,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
8,Claire Mancini,998,F30-34,USA,02:44:48,01:40:46,04:27:39,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
53,Geller Bedoya,1953,M30-34,COL,02:45:19,01:36:37,04:27:40,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
9,Roxanne Beltran,845,F25-29,USA,02:46:27,01:38:22,04:27:45,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
33,Agustin Araya,624,M40-44,USA,02:44:04,01:39:47,04:27:48,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
45,Ryan Baker,2189,M35-39,USA,02:38:42,01:45:24,04:28:00,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
9,Caitlin Mooney,228,F35-39,USA,02:47:16,01:38:06,04:28:12,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
54,Brian Yannutz,2181,M30-34,USA,02:43:54,01:41:35,04:28:29,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
46,John Hanke,2286,M35-39,USA,02:26:35,01:58:42,04:28:30,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
32,Daniel Zayas,1933,M25-29,USA,02:40:35,01:45:26,04:28:30,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
37,Harry Terrill,2957,M45-49,USA,02:36:11,01:48:09,04:28:34,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
33,Jacob Schwartz,3458,M25-29,USA,02:35:25,01:49:01,04:28:35,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
47,David Tatum,424,M35-39,USA,02:39:18,01:46:01,04:28:36,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
18,Dean Davis,478,M50-54,USA,02:32:53,01:51:27,04:28:42,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
34,Ryan O'Harren,636,M40-44,USA,02:34:13,01:49:43,04:28:56,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
48,Nathan Turner,427,M35-39,USA,02:25:33,02:00:43,04:29:04,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
38,Jerett Zipin,473,M45-49,USA,02:41:51,01:44:34,04:29:05,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
49,Nick Kim,2308,M35-39,USA,02:36:25,01:49:24,04:29:13,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
55,Benjamin Garland,2011,M30-34,USA,02:38:03,01:45:53,04:29:16,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
50,Pablo Valdesdonoso,2431,M35-39,CHL,02:28:47,01:55:32,04:29:17,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
56,Mike Alberico,1938,M30-34,USA,02:40:29,01:45:33,04:29:19,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Mark Holland,502,M60-64,USA,02:35:52,01:50:14,04:29:25,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
39,Ray Weng,2970,M45-49,USA,02:49:44,01:34:51,04:29:27,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
34,Jean-Paul Espinosa,1829,M25-29,GBR,02:41:12,01:44:06,04:29:31,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
4,Liz Weidling,1341,F40-44,USA,02:44:04,01:41:55,04:29:35,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
12,Sawyer Kelly,1765,M18-24,USA,02:41:28,01:44:12,04:29:39,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
19,William Cruz,477,M50-54,USA,02:38:27,01:47:27,04:29:40,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
10,Kayla Kielar,1119,F35-39,USA,02:41:24,01:44:52,04:29:43,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
10,Stephanie Duda,860,F25-29,USA,02:50:54,01:35:46,04:30:02,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
10,Keith Hansen,3517,M55-59,USA,02:39:53,01:45:58,04:30:06,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
40,John Kelly,2839,M45-49,USA,02:42:14,01:44:18,04:30:06,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
11,Mark Allen,3180,M55-59,USA,02:40:41,01:46:35,04:30:09,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
20,Scott Perrine,482,M50-54,USA,02:30:26,01:53:04,04:30:16,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
21,Christopher Graves,680,M50-54,USA,02:40:31,01:45:28,04:30:19,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
35,Geoffrey Lew,632,M40-44,USA,02:46:04,01:42:01,04:30:20,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
36,Jeff Ho,2555,M40-44,USA,02:38:51,01:48:33,04:30:23,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
11,Morgan Krajewski,535,F35-39,USA,02:39:56,01:47:42,04:30:23,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
35,Thomas Ranalli,1885,M25-29,USA,02:46:25,01:41:04,04:30:26,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
36,Corey O'Connor,592,M25-29,USA,02:40:58,01:45:58,04:30:39,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
12,Amanda Gentry,325,F35-39,USA,02:42:34,01:44:06,04:30:40,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
13,Jake Schafer,1781,M18-24,USA,02:34:04,01:54:09,04:30:45,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
57,William Beyer,1957,M30-34,USA,02:41:00,01:47:27,04:31:06,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
41,Jorge Aspiazu,2714,M45-49,USA,02:40:57,01:46:31,04:31:06,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
3,Carrie McCusker,342,F45-49,USA,02:36:28,01:50:47,04:31:07,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
51,Jordan Smith,620,M35-39,USA,02:42:11,01:46:05,04:31:14,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
22,Todd Gottfried,3058,M50-54,USA,02:34:28,01:52:37,04:31:24,Ironman 70.3 Santa Rosa,07/28/2018,"Santa Rosa, California
"
