Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
252,Ian Torres,1401,M 40,PHI,07:54:33,05:59:17,14:09:52,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
253,Ross Gernon,1542,M 40,IRL,07:35:23,06:17:44,14:10:22,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
13,Jami Callahan-Brill,173,F 50,USA,08:04:10,05:54:02,14:10:54,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
254,Greg Vaysman,1341,M 40,CAN,08:14:51,05:31:14,14:11:14,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
28,Colleen Naughton,547,F 30,USA,08:07:37,05:41:24,14:11:33,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
240,Michael Stone,1587,M 45,USA,08:13:55,05:30:46,14:11:46,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
114,Mark Dillon,1968,M 50,IRL,07:51:20,05:55:47,14:12:23,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
16,Stephen Albright,2119,M 60,USA,08:07:38,05:55:23,14:12:35,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
14,Marlies Budde-Petch,727,F 50,GER,08:00:19,05:48:49,14:12:39,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
241,Brian Bennett,1740,M 45,IRL,07:41:18,06:06:53,14:12:42,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
242,Tim Watts,1736,M 45,USA,07:47:12,05:41:04,14:12:51,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
255,Jose Mari Cagurangan,333,M 40,PHI,08:00:45,05:56:58,14:13:01,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
137,Glenn Scully,955,M 30,IRL,07:47:35,06:11:46,14:13:52,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
4,Elizabeth Model,177,F 60,CAN,08:13:12,05:52:38,14:14:34,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
213,Keith O Halloran,1119,M 35,IRL,07:44:07,06:06:23,14:14:42,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
83,Osajie Oboh,809,M 25,GBR,08:12:40,04:55:40,14:14:50,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
84,Michael O’grady,839,M 25,GBR,08:14:40,05:40:04,14:14:59,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
72,Julian Hawkins,2042,M 55,GBR,07:44:22,06:14:46,14:15:26,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
85,Curt Watts,824,M 25,GBR,08:16:49,05:40:27,14:15:30,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
17,Hannah Krydynski,506,F 25,USA,08:14:24,05:43:44,14:15:45,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
214,David Duarte,330,M 35,USA,08:03:37,05:55:28,14:16:31,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
15,Katy Roberts,732,F 50,USA,07:44:04,06:13:55,14:16:42,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
243,Raymond Brownfield,1814,M 45,IRL,06:46:26,07:08:14,14:17:23,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
16,Jill Kralovanec,106,F 50,USA,07:40:59,06:09:32,14:17:52,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
1,Gennaro Magliulo,145,M 75,USA,07:33:32,06:09:32,14:19:07,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
73,Bret Hooppaw,2017,M 55,USA,07:33:03,06:15:36,14:19:12,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
244,Packy Somers,1748,M 45,IRL,08:08:43,05:59:34,14:19:22,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
17,Heidi Parkhurst,308,F 50,USA,08:06:41,05:53:49,14:19:36,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
115,Luis Encinas Lazaro,1867,M 50,ESP,08:03:47,06:00:20,14:19:40,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
74,Jimmy Kirwan,2027,M 55,IRL,07:56:48,06:09:31,14:19:43,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
116,James Galante,1942,M 50,USA,08:04:48,05:51:51,14:20:06,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
245,Ciaran Corcoran,1683,M 45,IRL,08:17:25,05:40:48,14:20:20,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
17,Kevin Offer,2129,M 60,GBR,07:43:49,06:21:47,14:20:21,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
86,Dan Aragones,818,M 25,GBR,08:18:47,05:48:29,14:20:50,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
256,Gary Spence,1428,M 40,GBR,07:31:34,06:29:24,14:21:08,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
138,Nicholas Maedel,415,M 30,USA,08:16:11,05:56:19,14:22:05,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
18,Thomas Kennedy,280,M 60,USA,08:11:02,05:58:39,14:22:07,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
19,Bob Dwenger,2118,M 60,USA,07:14:21,06:45:28,14:22:55,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
117,Noel Crowe,2006,M 50,IRL,08:05:32,05:36:49,14:23:04,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
257,David Walsh,1538,M 40,IRL,07:58:07,06:01:41,14:24:12,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
18,Louise Ruane,716,F 50,IRL,08:00:28,05:50:58,14:24:24,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
258,David Toms,414,M 40,USA,07:49:44,06:17:49,14:24:58,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
215,Stuart Keener,1232,M 35,USA,08:11:49,05:52:41,14:25:11,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
246,Robert B (brian) Ross,1853,M 45,IRL,08:10:15,05:44:27,14:26:55,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
20,Steve Miller,382,M 60,USA,07:10:34,06:33:08,14:27:12,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
259,Shane Goldsberry,1544,M 40,IRL,07:52:46,06:18:07,14:27:57,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
118,Paul Warzocha,1883,M 50,USA,07:48:14,06:16:00,14:29:33,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
44,Cheryl Cook,640,F 40,USA,08:17:45,06:01:54,14:30:19,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
45,Megan Granich,161,F 40,USA,07:51:38,05:58:54,14:30:38,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
260,Jeromy McMahon,1352,M 40,USA,07:54:28,06:20:38,14:31:32,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
87,Rhum Lawrence,798,M 25,GBR,08:11:42,05:58:01,14:32:28,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
261,Joshua Rasmussen,1336,M 40,USA,07:51:05,06:28:00,14:34:29,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
247,Finbarr Sheehan,447,M 45,IRL,08:01:35,06:10:01,14:35:32,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
119,Richard Simpson,1915,M 50,IRL,07:14:05,06:59:12,14:37:00,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
21,John Exley,2123,M 60,RSA,07:44:11,06:36:43,14:37:04,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
248,Shon Williams,1741,M 45,USA,08:19:00,05:45:49,14:37:32,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
262,Alan Mc Govern,1368,M 40,IRL,08:02:32,06:02:05,14:38:41,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
22,Kevin Drury,418,M 60,USA,07:14:25,06:30:02,14:39:22,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
88,Joshua Barron,801,M 25,GBR,07:46:48,06:38:40,14:41:58,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
89,Steven Guerin,827,M 25,IRL,07:59:31,06:03:38,14:42:23,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
249,Anton Hinton-Bayre,1602,M 45,AUS,07:42:34,06:41:41,14:42:38,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
139,Kevin Haugh,1000,M 30,IRL,07:57:13,06:27:09,14:42:52,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
19,Susan Haag,416,F 50,USA,08:09:01,06:11:15,14:43:58,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
263,Gregory McVeigh,1317,M 40,IRL,07:29:10,06:56:16,14:44:12,"Ironman Cork, Ireland",06/23/2019,"Youghal/Cork, Ireland"
