Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
28,Jeffrey Jamison,1176,M 45-49,USA,02:32:08,01:53:18,04:27:08,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
33,Joel Reed,207,M 35-39,USA,02:34:14,01:50:32,04:27:14,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
28,Tyler Wanke,803,M 25-29,USA,02:42:03,01:42:27,04:27:17,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
29,Drew Landon,757,M 25-29,USA,02:44:27,01:41:19,04:27:48,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
14,Ricardo Saucedo,1322,M 50-54,USA,02:32:28,01:52:17,04:27:54,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
15,Ed Nicholson,1543,M 50-54,USA,02:39:21,01:46:22,04:27:55,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
31,Mark Moss,874,M 30-34,USA,02:35:37,01:50:54,04:28:01,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
29,Edwin Gonzales,1526,M 45-49,USA,02:33:18,01:52:34,04:28:25,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
5,Jp Fahey,1355,M 55-59,USA,02:35:08,01:51:35,04:28:25,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
34,Kent Mccoy,977,M 35-39,USA,02:35:24,01:51:33,04:28:27,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
35,Daniel Vehe,1020,M 35-39,USA,02:39:42,01:46:36,04:28:28,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
1,Miriam Cole,106,F 45-49,USA,02:34:45,01:52:09,04:28:30,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
36,Nelson Junior,959,M 35-39,BRA,02:43:16,01:43:19,04:28:31,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
11,Josh Brenc,682,M 18-24,USA,02:45:51,01:39:27,04:28:33,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
30,David Van Ells,1245,M 45-49,USA,02:29:02,01:53:18,04:28:58,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
12,Trevor Schell,708,M 18-24,USA,02:41:01,01:45:08,04:29:09,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
31,Theodore Dorenkamp,1159,M 45-49,USA,02:34:59,01:51:22,04:29:16,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
30,Gavin Mcneeley,771,M 25-29,USA,02:40:19,01:46:45,04:29:23,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
6,Mckaylah Hilliard,345,F 25-29,USA,02:43:22,01:43:44,04:29:31,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
7,Katelyn Forsythe,335,F 25-29,USA,02:35:08,01:52:53,04:29:33,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
8,Jeanette Lee,174,F 35-39,USA,02:32:38,01:54:09,04:29:34,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
37,Bret Wagner,1023,M 35-39,USA,02:46:35,01:40:41,04:29:35,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
32,Bernhard Westra,1249,M 45-49,ZAF,02:36:26,01:50:18,04:29:40,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
31,Dan Gancarz,736,M 25-29,USA,02:42:31,01:44:41,04:30:03,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
16,Kevin Bates,163,M 50-54,USA,02:36:58,01:50:53,04:30:11,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
32,Eddie Barnes,816,M 30-34,USA,02:47:13,01:40:06,04:30:14,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
33,Ted Stilber,1233,M 45-49,USA,02:37:39,01:48:01,04:30:26,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
8,Taylor Mahan-Rudolph,355,F 25-29,USA,02:42:55,01:45:24,04:30:30,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
9,Deana Jagielo,348,F 25-29,USA,02:42:33,01:45:13,04:30:35,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
10,Danielle Kearns,350,F 25-29,USA,02:52:03,01:36:56,04:30:51,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
34,Jeff Mahuta,274,M 45-49,USA,02:38:31,01:50:19,04:30:55,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
28,Vitali Hil,1068,M 40-44,BLR,02:44:08,01:44:03,04:31:01,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
33,Paul Bahra,1468,M 30-34,USA,02:34:19,01:53:28,04:31:02,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
29,Jamie Brinkley,1036,M 40-44,USA,02:41:51,01:46:45,04:31:02,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
34,Michael Bestvina,820,M 30-34,USA,02:30:24,01:59:11,04:31:11,Ironman 70.3 Racine,07/16/2017,"Racine, Wisconsin, USA"
