Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
3,Gwen Duhon,232,F55-59,USA,00:00:00,02:50:13,01:57:02,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
33,Dale Rhoads,2297,M50-54,USA,00:00:00,02:40:46,01:53:15,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
6,Mark Bauckman,327,M60-64,USA,00:00:00,02:53:06,01:46:12,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
52,Jeremy Withrow,429,M40-44,USA,00:00:00,02:40:15,01:52:56,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
64,JP Wartman,1571,M30-34,USA,00:00:00,02:50:04,01:51:00,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
21,Michael Vulanich,29,MPRO,USA,00:00:00,03:24:15,01:27:42,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
61,Seth Foreman,1643,M35-39,USA,00:00:00,02:48:55,01:54:55,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
31,Sabin Balint,2038,M45-49,USA,00:00:00,02:48:06,01:48:35,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
8,Joanna Coker,605,F25-29,USA,00:00:00,02:43:44,02:04:51,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
9,Erin Cain,187,F25-29,USA,00:00:00,02:48:59,01:51:27,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
53,Nicolas Faure,1871,M40-44,USA,00:00:00,02:42:08,02:00:16,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
22,Scott McIntyre,2387,M55-59,USA,00:00:00,02:44:19,01:55:26,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
62,Jeremy Sears,1763,M35-39,USA,00:00:00,02:39:12,02:03:31,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
5,Maura Carroll,849,F40-44,USA,00:00:00,02:56:24,01:53:45,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
63,Luke Crisell,1618,M35-39,GBR,00:00:00,02:43:52,02:00:10,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
64,Anthony Le,1692,M35-39,USA,00:00:00,02:42:22,01:52:36,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
65,Sameer Bhadouria,397,M35-39,IND,00:00:00,02:49:41,01:45:30,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
32,Aaron Westlake,2200,M45-49,USA,00:00:00,02:42:30,01:57:10,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
45,Kevin Cabral,1258,M25-29,USA,00:00:00,02:50:54,01:53:12,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
34,Jim Arguelles,2210,M50-54,COL,00:00:00,02:47:18,01:54:38,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
65,Ryan Miller,252,M30-34,USA,00:00:00,02:54:16,01:50:55,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
35,Mark Schmidt,2304,M50-54,USA,00:00:00,02:44:03,01:47:38,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
54,Christopher Kirchhoff,1915,M40-44,USA,00:00:00,02:58:35,01:40:15,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
33,Jeff Land,2603,M45-49,USA,00:00:00,02:45:28,01:54:28,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
66,Luis Ruiz,1759,M35-39,MEX,00:00:00,02:47:22,01:40:55,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
46,Alex Eller,1275,M25-29,USA,00:00:00,03:00:56,01:48:32,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
47,Nikolaj Kotz,1300,M25-29,USA,00:00:00,02:45:58,01:56:58,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
66,Daniel Speed,1547,M30-34,GBR,00:00:00,02:45:57,01:58:42,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
34,Tyre Eggert,2071,M45-49,USA,00:00:00,02:51:35,01:54:41,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
35,Marcus Hartley,294,M45-49,USA,00:00:00,02:49:25,01:57:16,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
-,Team Los Avalamas,4025,URELAY,USA,00:00:00,02:38:51,02:01:20,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
6,Rene Manatt,206,F40-44,USA,00:00:00,02:50:17,01:56:32,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
67,Victor Mora,1498,M30-34,USA,00:00:00,02:49:25,01:53:01,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
67,Adam Kaplan,1682,M35-39,USA,00:00:00,02:52:51,01:50:03,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
-,Team Saktri,4042,URELAY,USA,00:00:00,02:46:15,01:53:11,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
48,Connor Lind,1306,M25-29,USA,00:00:00,02:48:24,01:54:31,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
11,Lee Ann Marchionna,358,F45-49,USA,00:00:00,02:49:04,01:52:46,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
2,Jim Fuller,475,M65-69,USA,00:00:00,02:47:48,01:59:38,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
18,Colby Parsons,1224,M18-24,CAN,00:00:00,02:48:17,01:51:42,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
68,Matt Justus,1462,M30-34,USA,00:00:00,02:45:48,01:57:20,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
11,Kelly Tran,504,F30-34,USA,00:00:00,02:52:07,01:50:11,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
69,Austin Stiles,1553,M30-34,USA,00:00:00,02:54:08,01:50:01,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
-,Team Encinal Jets Tri-Club,4018,URELAY,USA,00:00:00,02:57:45,01:50:06,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
12,Alison Stirm,725,F30-34,USA,00:00:00,03:05:22,01:42:34,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
55,Zack Finley,1874,M40-44,USA,00:00:00,02:50:00,01:56:24,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
23,Francisco Pons,2400,M55-59,MEX,00:00:00,02:39:12,01:56:07,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
56,Marcus Rampton,1972,M40-44,USA,00:00:00,02:43:37,02:01:02,00:00:00,00:00:00,Ironman 70.3 Santa Rosa,07/27/2019,"Santa Rosa, California
"
