Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
51,Christopher Gates,1408,M35-39,USA,02:25:18,02:07:58,04:36:52,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
52,Chris Buck,1468,M35-39,GBR,02:43:44,01:48:21,04:37:04,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
33,Jeremiah Deneve,1016,M45-49,USA,02:29:58,02:04:20,04:37:06,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
53,Isaac Johnson,463,M35-39,USA,02:50:44,01:43:22,04:37:09,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
51,Dan Egan,114,M30-34,USA,02:40:45,01:52:36,04:37:25,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
50,Farrell Malone,723,M40-44,USA,02:34:31,02:00:27,04:37:41,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
54,Joshua Park,1119,M35-39,USA,02:40:28,01:53:50,04:38:00,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
34,Nicolas Gonzales Nagels,1219,M45-49,USA,02:26:14,02:09:29,04:38:07,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
51,Owen Oneill,1292,M40-44,USA,02:39:28,01:57:09,04:38:41,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
7,Tomoko Gnodtke,1088,F45-49,JPN,02:42:02,01:53:53,04:38:45,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
5,Valentina Ricupati,532,F25-29,USA,02:45:08,01:51:32,04:38:52,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
14,Matthew O'Rourk,322,M18-24,USA,02:50:29,01:45:06,04:39:05,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
55,Brandon Baumgartner,1262,M35-39,USA,02:33:27,02:02:48,04:39:06,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
52,Peter Elsham,929,M30-34,USA,02:35:57,02:00:17,04:39:07,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
28,Luke Ebeyer,664,M25-29,USA,02:32:16,02:04:08,04:39:10,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
28,Nathan Hackos,1425,M50-54,USA,02:43:46,01:51:59,04:39:32,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
56,Grigory Savva,857,M35-39,RUS,03:00:49,01:35:29,04:39:38,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
9,Erika Lilley,215,F40-44,USA,02:34:13,02:02:35,04:39:56,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
29,Christopher Bartlett,563,M25-29,USA,02:42:15,01:52:29,04:39:58,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
8,Megan Weis,649,F45-49,USA,02:37:55,01:59:15,04:40:16,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
57,Chris Brede,1354,M35-39,USA,02:26:21,02:10:23,04:40:25,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
52,Jeremy Scherer,617,M40-44,USA,02:45:12,01:52:33,04:40:33,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
53,Troy Smits,460,M40-44,USA,02:42:33,01:53:27,04:40:42,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
12,Roger Mathieu,260,M55-59,USA,02:35:22,01:59:51,04:40:44,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
53,Derek Easton,1290,M30-34,USA,02:39:41,01:58:18,04:40:58,Ironman 70.3 Steelhead,06/27/2021,"Benton Harbor, Michigan, USA"
