Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
188,Ted Tagalakis,3087,M45-49,USA,00:36:54,00:04:38,00:04:59,17:25:33,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
150,Jeff Collins,3178,M50-54,USA,00:36:02,00:08:59,00:05:15,17:25:32,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
159,Shoichiro Nagaishi,2366,M35-39,JPN,00:35:53,00:09:29,00:13:55,17:25:26,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
151,Jeremy Griem,3210,M50-54,USA,00:35:45,00:06:22,00:09:11,17:25:25,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
84,Olga Caripidis,1173,F40-44,VEN,00:33:56,00:04:11,00:03:59,17:25:17,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
4,Sue Taylor,1845,F60-64,USA,00:35:07,00:04:02,00:04:23,17:25:08,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
71,Benjamin Nicholas,1980,M25-29,USA,00:30:22,00:03:55,00:02:59,17:25:07,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
160,Jim Hand,2291,M35-39,USA,00:37:20,00:06:06,00:04:27,17:25:07,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
212,Mark Torsney,2745,M40-44,USA,00:34:56,00:06:00,00:04:19,17:24:58,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
64,Amber Leighton,945,F30-34,USA,00:40:30,00:03:42,00:04:48,17:24:45,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
161,Preston Ray,2394,M35-39,USA,00:26:07,00:22:53,00:03:30,17:24:43,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
78,Robert Dizes,3414,M55-59,USA,00:39:06,00:04:08,00:06:40,17:24:43,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
83,Danica Pruitt,680,F35-39,USA,00:45:26,00:04:13,00:03:52,17:24:42,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
189,Michael Lindley,2963,M45-49,USA,00:38:34,00:08:57,00:07:46,17:24:40,00:00:00,Ironman 70.3 Augusta,09/23/2018,"Augusta, Georgia, USA"
