Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
247,Zbynek Stranak,1384,M 30,CZE,00:42:15,01:58:00,02:48:51,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
248,Peter Thoma,287,M 30,SUI,00:52:56,01:48:19,02:48:52,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
249,Miloš Vejnovi?,1412,M 30,BIH,00:39:12,02:00:00,02:48:55,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
-,Ryan Mallett,2837,M ,USA,00:36:35,02:04:44,02:48:59,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
9,Birgit Jaritz,768,F 50,AUT,00:41:48,02:01:56,02:49:01,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
128,Klaus Kowarik,2382,M 50,GER,00:48:31,01:50:16,02:49:02,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
153,Alessandro Fantuzzi,2101,M 45,ITA,00:41:12,01:58:15,02:49:08,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
241,Lars Helfenbein,1864,M 40,GER,00:42:45,01:58:26,02:49:10,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
250,Jan-Philipp Beck,1127,M 30,GER,00:46:28,01:58:11,02:49:13,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
251,Fahad Ali,1114,M 30,BRN,00:51:18,01:53:39,02:49:16,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
9,Ivan Chittenden,2588,M 60,CAN,00:43:40,01:50:08,02:49:16,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
242,Mihai Voicu,2042,M 40,ROU,00:38:54,02:03:56,02:49:22,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
251,Massimo Cirillo,1487,M 35,ITA,00:50:49,01:48:54,02:49:31,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
129,Carlo Baccolini,2299,M 50,ITA,00:53:43,01:49:45,02:49:33,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
40,Katja Kralj,594,F 35,SLO,00:45:59,01:56:58,02:49:33,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
154,Wolfgang Högn,2148,M 45,AUT,00:47:20,01:52:37,02:49:40,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
41,Doris Tomsits,622,F 35,AUT,00:41:19,02:02:00,02:49:44,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
42,Rahel Gölz,581,F 35,GER,00:45:01,01:55:13,02:49:49,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
155,Martin Pfiel,2218,M 45,AUT,00:42:53,02:01:38,02:49:51,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
156,Stephane Wolter,2292,M 45,GER,00:43:09,01:58:45,02:49:56,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
243,Bernhard Hiebler,1867,M 40,AUT,00:50:44,01:54:56,02:49:58,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
157,Andrea Vico,2278,M 45,ITA,00:52:06,01:51:05,02:50:02,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
252,Jiri Kana,1252,M 30,CZE,00:35:05,02:09:17,02:50:02,Ironman 70.3 Zell am See,08/26/2018,"Zell am See, Austria"
