Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
43,Bingai Cao,636,M45-49,CHN,03:08:11,02:04:50,05:23:17,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
3,Felicia Johansson,803,F18-24,SWE,03:01:12,02:17:33,05:23:19,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
10,Team Wonder One,1013,RELAY-MIX,CHN,03:20:52,01:59:14,05:23:43,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
15,马 骏,255,M25-29,CHN,02:58:53,02:20:09,05:23:49,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
10,Vince Christian Ang,204,M18-24,PHL,02:54:42,02:24:30,05:23:58,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
43,Chuangxin Lu,294,M30-34,CHN,02:52:38,02:18:21,05:24:06,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,Xin Yao,887,F35-39,CHN,02:56:31,02:21:02,05:24:09,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
5,Grace Chung Yan Kwong,916,F40-44,HKG,03:06:06,02:12:28,05:24:11,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
18,Ruilai Cui,760,M55-59,CHN,03:07:02,02:09:11,05:24:34,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
54,Hong Yet Heng,392,M35-39,MYS,03:12:40,02:05:59,05:24:49,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,Peihong Zhu,135,F45-49,CHN,03:13:53,02:05:12,05:24:51,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
44,Yun Deng,671,M45-49,CHN,02:59:11,02:19:21,05:25:22,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
29,Hongtao Wu,717,M50-54,CHN,03:08:02,02:08:20,05:25:50,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
44,Tao Huang,376,M30-34,CHN,03:05:49,02:13:56,05:25:54,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
53,Fan Yang,545,M40-44,CHN,03:02:34,02:14:59,05:26:43,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
54,Libang Chen,537,M40-44,TWN,03:07:34,02:13:31,05:26:48,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
55,Li Jia,521,M40-44,CHN,03:08:19,02:10:07,05:27:08,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
5,Team 凤莎自强,1033,RELAY-MIX,CHN,03:13:45,02:10:20,05:27:20,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
45,Shun Fang,374,M30-34,CHN,03:21:39,02:04:34,05:28:13,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
7,Yasuaki Miki,774,M60-64,JPN,02:52:39,02:27:25,05:28:18,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
46,Libing Yu,276,M30-34,CHN,03:19:29,02:04:09,05:28:44,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
35,Team Ctf Ironman Team,1016,RELAY-M,CHN,03:02:33,02:02:11,05:28:46,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
45,Qing Guo,648,M45-49,CHN,03:22:24,01:55:06,05:29:06,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
11,Team 速豹疯狂铁人一队,1069,RELAY-MIX,CHN,03:30:51,01:54:42,05:29:37,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
12,Team 馋师跑者,1024,RELAY-MIX,CHN,03:14:42,02:12:47,05:29:54,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
36,Team 西建大推进战队2队,1055,RELAY-M,CHN,03:52:24,01:35:47,05:29:57,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
55,Sen Huang,409,M35-39,CHN,03:08:54,02:13:37,05:30:12,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
8,Mingrui Xie,780,M60-64,CHN,03:07:21,02:18:06,05:30:19,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
46,Zhenguo Han,642,M45-49,CHN,02:56:39,02:28:10,05:30:22,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
16,Linpeng Si,218,M25-29,CHN,02:53:10,02:30:45,05:30:35,Ironman 70.3 Xi'an,09/15/2019,"Xi'an, China
"
