Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,11,Race,Date,Location
205,Stuart Cleworth,1606,M 40,GBR,00:00:00,05:44:55,05:03:13,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
206,Dimitris Stamatiou,1819,M 40,GRE,00:00:00,06:05:30,04:53:39,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
10,Katja Wacker,782,F 45,GER,00:00:00,06:13:07,04:18:26,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
163,Martin Paust,2069,M 45,GER,00:00:00,05:41:58,05:13:14,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
129,Manfred Niehüser,2342,M 50,GER,00:00:00,05:46:57,04:45:48,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
164,Daniel Gillert,1959,M 45,GBR,00:00:00,06:17:15,04:30:43,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
150,Louis-Nicolas Levasseur,1134,M 30,FRA,00:00:00,05:50:51,04:39:38,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
165,Martijn Janssen,1993,M 45,NED,00:00:00,05:39:39,04:57:36,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
16,Tim Schroer,883,M 18,GER,00:00:00,05:36:20,05:19:44,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
45,Hubert Becker,2449,M 55,GER,00:00:00,05:38:39,05:03:10,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
11,Vanessa Wildenauer,631,F 25,GER,00:00:00,06:09:50,04:29:00,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
84,Nils Meiners,957,M 25,GER,00:00:00,06:28:46,04:13:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
166,Magnus Jönsson Wedén,2000,M 45,SWE,00:00:00,06:21:41,04:07:35,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
85,Andreas Nover,964,M 25,GER,00:00:00,06:17:34,04:15:19,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
208,Dmitry Galitskiy,373,M 35,RUS,00:00:00,06:11:59,04:17:04,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
167,Tal Karpenkop,2003,M 45,ISR,00:00:00,05:45:17,04:52:02,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
86,Robin Braam,905,M 25,NED,00:00:00,06:26:23,04:23:27,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
168,Andrew Baptie,564,M 45,GBR,00:00:00,06:08:42,04:23:59,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
151,Mathias Krull,1129,M 30,GER,00:00:00,06:36:28,04:13:08,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
169,Amir Azaria,1876,M 45,ISR,00:00:00,06:01:34,04:29:26,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
152,Matthias Kiehl,1116,M 30,GER,00:00:00,06:00:05,04:41:54,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
209,Thomas Hessmann,1351,M 35,GER,00:00:00,05:30:41,05:22:44,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
130,Ramon Baas,2172,M 50,GER,00:00:00,06:14:56,04:21:56,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
207,Ivica Vrgoc,1846,M 40,BIH,00:00:00,05:49:46,04:48:10,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
170,Stephan Janßen,1995,M 45,GER,00:00:00,06:02:49,04:12:22,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
210,Jean-Marc Giana,1331,M 35,FRA,00:00:00,05:32:18,05:22:50,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
8,Sonja Ziehli,819,F 50,SUI,00:00:00,06:03:23,04:40:47,00:00:00,00:00:00,Ironman Hamburg,07/28/2019,"Hamburg, Germany
"
