Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
141,Drew Schreiner,1427,M30-34,USA,07:10:44,05:58:53,13:19:00,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
142,Steven Collins,1359,M30-34,USA,07:06:56,05:58:56,13:19:03,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
192,Scott June,619,M50-54,USA,06:51:12,06:17:39,13:19:21,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
32,Kevin Drury,1235,M18-24,USA,07:39:58,05:26:56,13:19:26,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
73,Heather Wilson,1091,F45-49,USA,07:07:38,06:04:02,13:20:52,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
74,Krista Caffey,2289,F45-49,USA,07:22:08,05:38:47,13:21:18,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
161,Andre Protas,1579,M35-39,USA,07:22:35,05:39:36,13:21:32,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
75,Pei Tung Wu,1095,F45-49,TWN,07:11:41,06:01:13,13:21:48,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
29,Kim Zuroff,789,F25-29,USA,07:06:12,06:06:15,13:21:58,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
143,Chandler Hendren,2314,M30-34,USA,07:29:47,05:41:09,13:22:03,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
11,Tom Parker,2253,M65-69,USA,07:27:20,05:41:38,13:22:06,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
220,Bert Corderman,1802,M45-49,USA,06:28:33,06:32:21,13:22:20,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
34,Tim Bailey,2212,M60-64,USA,07:15:01,05:53:51,13:22:35,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
76,Judy Long,1064,F45-49,USA,07:19:26,05:50:25,13:23:02,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
1,George Hudson,2395,M75-79,USA,06:51:02,06:17:46,13:23:22,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
53,Laura Lane,1137,F50-54,USA,07:39:13,05:35:03,13:23:23,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
144,Dustin Wlazlo,1455,M30-34,USA,06:59:30,06:13:00,13:23:30,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
86,Bill Harrmann,2156,M55-59,USA,07:08:47,06:01:49,13:23:36,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
221,Tyson Schroeder,1925,M45-49,USA,06:49:32,06:21:01,13:23:47,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
30,Lucy Kramer,775,F25-29,USA,07:19:47,05:55:05,13:24:25,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
193,Allen Belice,1974,M50-54,USA,07:23:23,05:45:33,13:24:26,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
188,Charlie Kittrell,1676,M40-44,USA,07:29:21,05:44:06,13:24:26,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
33,Alexander Smith,681,M18-24,USA,06:55:53,06:12:27,13:25:07,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
95,Laura Fennell,942,F40-44,USA,07:59:47,05:11:26,13:25:16,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
77,Tara Brook,1038,F45-49,USA,07:21:40,05:49:53,13:25:23,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
54,Florence Juge-Boulogne,27,F50-54,FRA,07:28:14,05:44:36,13:25:31,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
96,Katie McHugh,980,F40-44,USA,06:51:25,06:25:34,13:25:56,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
7,Lauren Lee,1221,F60-64,USA,07:35:57,05:36:43,13:26:39,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
87,Dan Pihlainen,2189,M55-59,CAN,06:51:59,06:20:13,13:26:41,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
88,Mark Verbrugge,737,M55-59,USA,07:19:37,05:50:22,13:26:46,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
55,Kara Nuismer,1150,F50-54,USA,06:40:36,06:36:34,13:26:56,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
31,Shelby Stevens,785,F25-29,USA,06:50:48,06:24:44,13:27:00,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
194,Nick Curcio,2398,M50-54,USA,06:57:21,06:17:54,13:27:17,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
2,Fred Marashi,2260,M70-74,USA,06:45:52,06:28:35,13:27:30,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
195,Paul Baldwin,1972,M50-54,USA,07:17:03,05:51:59,13:27:49,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
35,Terry Gross,520,M60-64,USA,06:50:54,06:26:12,13:28:26,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
222,Sean McConnell,1888,M45-49,USA,07:24:48,05:51:51,13:28:39,Ironman Louisville,10/13/2019,"Louisville, Kentucky, USA"
