Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
144,Lore Ford,1920,M 45-49,USA,05:14:47,05:08:57,10:33:44,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
82,Roldan Mendoza,2268,M 50-54,PHL,05:02:43,05:20:09,10:33:47,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
131,Mark Williams,113,M 35-39,USA,05:55:32,04:30:45,10:33:55,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
132,Brian Smith,1556,M 35-39,USA,05:47:59,04:36:51,10:33:59,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
125,Michael Skeele,1779,M 40-44,USA,05:03:54,05:21:17,10:34:18,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
83,Aaron Melean,423,M 50-54,USA,05:11:25,05:15:08,10:34:24,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
126,Rick Rivera,1762,M 40-44,USA,04:54:46,05:25:10,10:34:28,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
127,James Zambardino,1825,M 40-44,USA,05:28:43,04:52:20,10:34:32,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
1,Senna Madsen,1075,F 65-69,DNK,05:31:36,04:53:13,10:34:32,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
145,Sean Luitjens,1994,M 45-49,USA,04:57:22,05:29:43,10:34:39,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
133,Christopher Simbliaris,1553,M 35-39,USA,05:44:26,04:32:32,10:34:40,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
84,Michael Hollobow,2220,M 50-54,USA,05:40:24,04:35:08,10:34:41,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
134,Gustavo Morales,1503,M 35-39,PRI,05:20:48,05:05:28,10:34:55,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
74,Edwin Acevedo,1229,M 30-34,PRI,05:19:21,05:09:19,10:34:57,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
146,Todd Jennings,1963,M 45-49,USA,04:59:18,05:16:30,10:35:04,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
128,Alex Mendez,1717,M 40-44,USA,04:53:09,05:27:34,10:35:28,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
75,Michael Nystrom,1318,M 30-34,USA,06:05:13,04:14:02,10:35:28,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
135,Steven Wayland,1578,M 35-39,USA,05:34:18,04:51:37,10:35:51,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
85,Fernando Carrizo,2155,M 50-54,USA,05:25:44,04:58:02,10:35:55,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
12,Jeff Dierksen,2482,M 60-64,USA,05:23:00,05:03:53,10:36:22,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
65,Pierre-Olivier Thibert,1216,M 25-29,CAN,05:25:59,05:02:03,10:36:27,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
30,Tom Rice,2444,M 55-59,USA,05:29:38,04:54:56,10:36:33,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
23,Vicky Schott,896,F 45-49,USA,05:18:08,05:05:55,10:36:34,Ironman Maryland,10/01/2016,"Cambridge, Maryland, USA"
