Place,Name,Bib,Division,Nation,Swim,Bike,Run,Race,Date,Location
66,Chris Tipps,1096,M55-59,USA,03:00:38,03:08:35,06:18:44,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
140,Edgard Belefanti,2015,M30-34,CUW,03:35:53,02:37:02,06:18:56,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
72,Christine Whitlow,1637,F45-49,USA,03:08:58,03:04:13,06:18:56,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
141,Robert Tucker,2156,M30-34,USA,03:14:09,02:59:02,06:19:02,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
200,Marcelo Borges,1304,M45-49,USA,03:11:54,03:01:11,06:19:13,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
95,Alison Diesel,519,F35-39,USA,03:20:04,02:52:34,06:19:16,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
122,Amy Moore,925,F40-44,USA,03:33:10,02:35:42,06:19:20,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
58,Tea Chand,853,F50-54,USA,02:56:10,03:16:27,06:19:38,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
67,Henk Kool,1511,M55-59,NLD,03:12:22,02:55:06,06:19:40,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
26,Rafael Quintana,2795,M60-64,USA,03:13:27,02:58:47,06:19:47,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
106,Robert Mock,2594,M50-54,USA,03:00:23,03:11:14,06:19:52,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
123,Nina Trevino,1919,F40-44,USA,03:28:15,02:41:50,06:19:53,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
16,Ezekiel Miller,2758,M18-24,USA,03:17:48,02:56:36,06:20:03,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
76,Philip Tryon,2730,M25-29,USA,03:30:12,02:42:46,06:20:12,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
73,Michelle Harris,1582,F45-49,USA,03:16:12,02:53:08,06:20:12,Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA"
