Event,Date,Location,Athletes,Results
Ironman 70.3 Western Australia,12/02/2018,"Busselton, Western Australia, Australia",684,/en/results/321-ironman-703-western-australia/all/
Ironman Western Australia,12/02/2018,"Busselton, Western Australia, Australia",1016,/en/results/322-ironman-western-australia/all/
Ironman Mar del Plata,12/02/2018,"Mar del Plata, Argentina",832,/en/results/323-ironman-mar-del-plata/all/
Ironman 70.3 Cartagena,12/02/2018,"Cartagena, Colombia",1793,/en/results/324-ironman-703-cartagena/all/
Ironman 70.3 Western Sydney,11/25/2018,"Western Sydney, New South Wales, Australia",1102,/en/results/319-ironman-703-western-sydney/all/
Ironman 70.3 Fortaleza,11/25/2018,"Fortaleza, Brazil",832,/en/results/320-ironman-703-fortaleza/all/
Ironman 70.3 Xiamen,11/18/2018,"Xiamen, China",1081,/en/results/315-ironman-703-xiamen/all/
Ironman Arizona,11/18/2018,"Tempe, Arizona, USA",2496,/en/results/317-ironman-arizona/all/
Ironman Cozumel,11/18/2018,"Cozumel, Mexico",1663,/en/results/318-ironman-cozumel/all/
Ironman 70.3 Langkawi,11/17/2018,"Langkawi, Malaysia",939,/en/results/314-ironman-703-langkawi/all/
Ironman Malaysia,11/17/2018,"Langkawi, Malaysia",1111,/en/results/316-ironman-malaysia/all/
Ironman 70.3 Los Cabos,11/04/2018,"Los Cabos, Mexico",638,/en/results/310-ironman-703-los-cabos/all/
Ironman 70.3 Buenos Aires,11/04/2018,"Buenos Aires, Argentina",2132,/en/results/311-ironman-703-buenos-aires/all/
Ironman Florida,11/04/2018,"Haines City, Florida, USA",1857,/en/results/312-ironman-florida/all/
Ironman 70.3 Turkey,10/28/2018,"Belek, Turkey",1191,/en/results/308-ironman-703-turkey/all/
Ironman 70.3 Waco,10/28/2018,"Waco, Texas, USA",2233,/en/results/309-ironman-703-waco/all/
Ironman 70.3 Atlantic City,10/21/2018,"Atlantic City, New Jersey, USA",2162,/en/results/304-ironman-703-atlantic-city/all/
Ironman 70.3 Arizona,10/21/2018,"Tempe, Arizona, USA",1390,/en/results/305-ironman-703-arizona/all/
Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA",983,/en/results/306-ironman-703-new-orleans/all/
Ironman 70.3 Shanghai,10/21/2018,"Shanghai, China",980,/en/results/307-ironman-703-shanghai/all/
Ironman 70.3 Coquimbo,10/20/2018,"Coquimbo, Chile",449,/en/results/303-ironman-703-coquimbo/all/
Ironman Louisville,10/14/2018,"Louisville, Kentucky, USA",2368,/en/results/302-ironman-louisville/all/
Ironman Hawaii,10/13/2018,"Kona, Hawaii, USA",2377,/en/results/301-ironman-hawaii/all/
Ironman Barcelona,10/07/2018,"Calella, Spain",2720,/en/results/299-ironman-barcelona/all/
Ironman Taiwan,10/07/2018,"Penghu, Taiwan",814,/en/results/300-ironman-taiwan/all/
Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain",569,/en/results/298-ironman-703-lanzarote/all/
