Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time
22,Kiefer Bachmann,1755,M25-29,USA,00:29:44,02:33:23,01:46:25,04:57:18
10,Henry Reed,1766,M50-54,USA,00:32:47,02:31:24,01:44:15,04:57:18
10,Matthew Siedle,2061,M18-24,ZAF,00:31:47,02:36:31,01:40:36,04:57:22
-,Team Tdds,4042,RELAY,USA,00:33:29,02:34:44,01:44:05,04:57:23
39,Jetson Swayze,660,M35-39,USA,00:30:33,02:31:15,01:49:44,04:57:23
11,Shawn Bernardi,388,M50-54,USA,00:34:54,02:38:12,01:34:53,04:57:33
20,Adam Krommenhoek,510,M45-49,USA,00:33:44,02:31:45,01:41:40,04:57:49
3,David Ciaverella,450,M55-59,USA,00:33:23,02:31:59,01:43:53,04:57:52
2,Jess Perry,337,F40-44,USA,00:34:24,02:38:08,01:39:24,04:57:57
12,Matt McCutchen,513,M50-54,USA,00:30:27,02:34:41,01:44:37,04:58:01
4,Joel Kinnunen,290,M55-59,USA,00:38:55,02:35:28,01:35:45,04:58:01
40,Peter Lohrmann,323,M35-39,USA,00:29:48,02:32:20,01:47:50,04:58:05
13,Alejandro Cristiani,1653,M50-54,SLV,00:27:11,02:36:46,01:46:44,04:58:05
41,Matteo Seconi,718,M35-39,USA,00:34:45,02:38:23,01:38:30,04:58:06
23,JR Dicarlo,211,M40-44,USA,00:29:49,02:39:32,01:38:22,04:58:14
32,Felix Rieseberg,1095,M30-34,DEU,00:27:15,02:42:06,01:39:25,04:58:16
23,Ignacio Mendez-Nunez,1654,M25-29,USA,00:32:34,02:31:30,01:47:40,04:58:17
24,Doug Simms,1266,M40-44,USA,00:31:10,02:28:29,01:47:43,04:58:22
14,Benjamin Lesueur,2244,M50-54,USA,00:33:59,02:39:56,01:37:35,04:58:40
42,Aaron Miller,587,M35-39,USA,00:29:23,02:32:28,01:47:01,04:58:44
11,Alexander Gilson,2415,M18-24,USA,00:27:25,02:29:52,01:55:07,04:58:53
2,Rebecca Yunginger,2897,F25-29,USA,00:30:49,02:32:07,01:49:56,04:58:56
33,Troy Litchfield,2078,M30-34,USA,00:31:19,02:32:52,01:48:52,04:59:04
2,Sarah Barber,453,F45-49,USA,00:33:17,02:39:53,01:39:12,04:59:08
5,Steve Moore,1473,M55-59,USA,00:36:50,02:32:57,01:41:34,04:59:15
34,Robert Langer,1356,M30-34,USA,00:31:25,02:32:53,01:49:05,04:59:17
35,Christopher Thorn,2703,M30-34,USA,00:31:02,02:40:28,01:40:35,04:59:32
36,Clay Wilkes,2605,M30-34,USA,00:33:22,02:43:34,01:31:13,04:59:32
6,Dougin Walker,384,M55-59,USA,00:26:28,02:40:11,01:44:15,04:59:43
7,Lindsey Knast,1944,F30-34,USA,00:34:15,02:39:01,01:38:16,04:59:53
15,Kenny Quigley,2153,M50-54,USA,00:35:16,02:37:00,01:40:56,04:59:54
21,Jason Fudala,566,M45-49,USA,00:35:54,02:34:20,01:43:00,05:00:18
43,Matthew Szymaszek,2378,M35-39,USA,00:39:24,02:38:52,01:29:43,05:00:26
-,Team Joe And Bw,4018,RELAY,USA,00:29:51,02:37:12,01:46:06,05:00:31
44,JP Botti,890,M35-39,USA,00:35:16,02:40:50,01:37:43,05:00:35
8,Maricarmen Farias,320,F30-34,MEX,00:33:28,02:34:09,01:47:09,05:00:43
25,Chris Hughes,1624,M40-44,USA,00:30:24,02:38:23,01:42:54,05:00:46
26,David Choren,982,M40-44,USA,00:38:40,02:28:08,01:45:30,05:00:47
16,Dominic Casey,278,M50-54,USA,00:35:39,02:35:00,01:42:49,05:00:51
45,Justin Dorn,1897,M35-39,USA,00:35:13,02:34:42,01:43:40,05:00:53
1,Mark Knaeps,294,M60-64,BEL,00:33:22,02:37:49,01:41:51,05:00:59
22,Steven Hatch,2526,M45-49,USA,00:30:59,02:28:23,01:51:41,05:01:06
46,John Estes,749,M35-39,USA,00:31:45,02:42:29,01:38:35,05:01:09
37,Cory Rose,208,M30-34,USA,00:41:30,02:32:32,01:39:45,05:01:15
23,Keith Chun,1538,M45-49,USA,00:30:35,02:37:16,01:45:30,05:01:18
24,Nathan Milojevic,1892,M25-29,USA,00:30:53,02:40:46,01:42:40,05:01:24
25,Kelly O'Mara,23,FPRO,USA,00:29:59,02:43:32,01:43:00,05:01:27
25,Andrew Sumnicht,1363,M25-29,USA,00:27:41,02:40:37,01:47:20,05:01:54
12,Matthew Begeman,1853,M18-24,USA,00:31:15,02:23:19,02:00:09,05:01:59
26,Garrett Simpson,2324,M25-29,USA,00:35:50,02:35:31,01:42:38,05:02:01
13,Brandon Shirazi,204,M18-24,USA,00:39:15,02:51:02,01:24:09,05:02:01
3,Seeley Gutierrez,331,F45-49,USA,00:32:21,02:44:10,01:39:07,05:02:04
4,Kelly Lambert,375,F35-39,USA,00:34:58,02:39:08,01:41:13,05:02:09
38,Benjamin Garland,1406,M30-34,USA,00:29:48,02:26:51,01:55:42,05:02:10
26,Kim Kilgroe,13,FPRO,PHL,00:26:13,02:40:34,01:50:58,05:02:18
47,Brandon Mailhot,488,M35-39,USA,00:38:05,02:32:10,01:43:56,05:02:18
39,Kevin Beades,591,M30-34,IRL,00:30:37,02:35:23,01:50:02,05:02:45
48,Adam Kornblit,2775,M35-39,USA,00:33:14,02:35:44,01:43:44,05:02:49
27,Garth Wadsworth,681,M25-29,ZAF,00:26:13,02:28:40,02:00:45,05:03:18
